,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
33,31/03/2016,"13,80%","0,96%","20,06%","5,65%","0,17","16,07","15,07"
34,31/12/2015,"14,54%","1,02%","31,19%","6,27%","0,16","15,61","14,61"
35,30/09/2015,"14,77%","0,99%","22,06%","6,50%","0,15","15,51","14,51"
36,30/06/2015,"14,60%","1,01%","24,52%","6,61%","0,15","14,39","13,39"
37,31/03/2015,"14,34%","0,98%","24,57%","6,66%","0,15","14,42","13,42"
38,31/12/2014,"14,70%","1,00%","34,24%","7,16%","0,14","14,22","13,22"
39,30/09/2014,"14,84%","0,95%","26,19%","6,92%","0,14","14,98","13,98"
40,30/06/2014,"14,95%","0,94%","26,68%","7,02%","0,13","14,50","13,50"
41,31/03/2014,"14,62%","0,86%","26,57%","6,43%","0,13","14,64","13,64"
42,31/12/2013,"12,95%","0,90%","37,37%","7,15%","0,13","14,69","13,69"
43,30/09/2013,"12,65%","0,96%","29,69%","7,17%","0,13","15,56","14,56"
44,30/06/2013,"13,47%","1,01%","32,14%","7,75%","0,13","15,87","14,87"
45,31/03/2013,"11,74%","0,87%","31,60%","6,94%","0,12","17,08","16,08"
46,31/12/2012,"9,74%","0,79%","40,43%","5,79%","0,14","14,39","13,39"
47,30/09/2012,"10,85%","0,85%","28,60%","6,03%","0,14","13,12","12,12"
48,30/06/2012,"6,99%","0,60%","23,82%","3,85%","0,16","13,34","12,34"
49,31/03/2012,"8,52%","0,79%","24,72%","4,71%","0,17","13,54","12,54"
50,31/12/2011,"9,99%","0,83%","36,42%","5,61%","0,15","12,30","11,30"
51,30/09/2011,"13,84%","1,17%","30,11%","7,42%","0,16","12,71","11,71"
52,30/06/2011,"19,78%","1,57%","34,57%","10,41%","0,15","11,55","10,55"
53,31/03/2011,"23,42%","1,76%","37,24%","11,94%","0,15","10,84","9,84"
54,31/12/2010,"21,37%","1,59%","40,01%","10,89%","0,15","12,07","11,07"
55,30/09/2010,"21,34%","1,53%","32,49%","10,37%","0,15","12,01","11,01"
56,30/06/2010,"21,06%","1,34%","30,66%","9,79%","0,14","12,75","11,75"
57,31/03/2010,"22,07%","1,56%","28,67%","9,86%","0,16","13,44","12,44"
58,31/12/2009,"23,12%","1,54%","27,68%","9,68%","0,16","13,45","12,45"
59,30/09/2009,"29,11%","1,67%","28,88%","11,30%","0,15","13,99","12,99"
60,30/06/2009,"32,13%","1,77%","29,12%","11,57%","0,15","15,66","14,66"
61,31/03/2009,"34,39%","2,01%","28,81%","11,87%","0,17","14,18","13,18"
62,31/12/2008,"36,23%","2,24%","28,90%","12,36%","0,18","15,02","14,02"
63,30/09/2008,"35,08%","2,21%","27,51%","11,92%","0,19","17,44","16,44"
64,30/06/2008,NA,NA,"28,04%","14,07%",NA,"18,16","17,16"
65,31/03/2008,NA,NA,"29,18%","15,44%",NA,"17,07","16,07"
66,31/12/2007,"49,69%","3,08%","30,02%","15,57%","0,20","16,17","15,17"
67,30/09/2007,NA,NA,"31,09%","16,95%",NA,"15,87","14,87"
68,30/06/2007,"55,84%","3,33%","30,69%","15,94%","0,21","16,05","15,05"
69,31/03/2007,"59,14%","2,92%","30,50%","14,81%","0,20","15,59","14,59"
70,31/12/2006,"65,61%","3,33%","31,09%","14,79%","0,23","16,14","15,14"
71,30/09/2006,"65,79%","2,97%","30,01%","12,87%","0,23","15,99","14,99"
72,30/06/2006,"65,49%","2,78%","28,75%","10,88%","0,26","16,78","15,78"
73,31/03/2006,"66,84%","2,80%","28,68%","9,93%","0,28","20,28","19,28"
74,31/12/2005,"63,60%","2,76%","30,16%","9,12%","0,30","19,68","18,68"
75,30/09/2005,"74,98%","2,72%","29,38%","9,99%","0,27","22,13","21,13"
76,30/06/2005,"60,59%","2,42%","31,74%","9,91%","0,24","23,59","22,59"
77,31/03/2005,"50,06%","2,04%","33,53%","8,58%","0,24","23,92","22,92"
78,31/12/2004,"48,04%","1,84%","35,39%","7,67%","0,24","23,04","22,04"
79,30/09/2004,"33,75%","1,23%","34,55%","5,72%","0,22","27,58","26,58"
80,30/06/2004,"36,01%","1,24%","33,92%","5,50%","0,22","25,01","24,01"
81,31/03/2004,"68,99%","1,92%","33,45%","7,95%","0,24","24,59","23,59"
82,31/12/2003,"56,57%","1,59%","30,78%","6,01%","0,26","26,12","25,12"
83,30/09/2003,"-7,91%","-0,34%","23,96%","-1,46%","0,23","27,42","26,42"
84,30/06/2003,"-18,02%","-0,83%","23,79%","-3,59%","0,23","29,11","28,11"
85,31/03/2003,"-21,27%","-0,84%","28,23%","-3,77%","0,22","36,00","35,00"
86,31/12/2002,"-36,99%","-1,92%","26,43%","-8,09%","0,24","35,64","34,64"
87,30/09/2002,"0,04%","0,00%","32,14%","0,01%","0,29","23,48","22,48"
88,30/06/2002,"4,54%","0,21%","32,04%","1,07%","0,19","21,82","20,82"
89,31/03/2002,"-10,65%","-0,48%","25,25%","-2,50%","0,19","25,26","24,26"
90,31/12/2001,"11,92%","0,55%","29,58%","2,59%","0,21","19,22","18,22"
91,30/06/2001,"9,33%","0,47%","19,06%","2,00%","0,23","21,85","20,85"
92,31/03/2001,"9,15%","0,50%","16,72%","1,93%","0,26","22,21","21,21"
93,31/12/2000,"9,62%","0,50%","19,22%","1,97%","0,25","21,86","20,86"
94,30/09/2000,"5,48%","0,29%","16,46%","1,24%","0,23","21,04","20,04"
95,30/06/2000,"8,79%","0,48%","18,86%","2,02%","0,24","20,05","19,05"
96,31/03/2000,"10,26%","0,57%","36,01%","2,33%","0,24","18,44","17,44"
