,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
54,31/12/2010,"24,24%","5,44%","30,76%","9,04%","0,60","3,06","2,06"
55,30/09/2010,"15,75%","4,22%","33,46%","7,76%","0,54","3,03","2,03"
56,30/06/2010,"22,57%","5,24%","34,27%","9,67%","0,54","2,95","1,95"
57,31/03/2010,"33,62%","6,80%","34,53%","12,62%","0,54","3,04","2,04"
58,31/12/2009,"41,30%","7,52%","34,59%","14,22%","0,53","4,46","3,46"
59,30/09/2009,"18,75%","4,37%","34,05%","7,71%","0,57","3,73","2,73"
60,30/06/2009,"11,18%","2,81%","34,93%","4,98%","0,57","4,31","3,31"
61,31/03/2009,"18,07%","4,20%","36,30%","7,50%","0,56","4,95","3,95"
62,31/12/2008,"16,52%","3,25%","37,97%","6,40%","0,51","5,49","4,49"
63,30/09/2008,"35,53%","8,04%","43,91%","13,50%","0,60","4,29","3,29"
64,30/06/2008,"71,27%","12,55%","44,10%","22,11%","0,57","3,98","2,98"
65,31/03/2008,"75,66%","12,74%","45,93%","21,40%","0,60","4,30","3,30"
66,31/12/2007,"38,18%","11,58%","46,12%","20,35%","0,57","5,08","4,08"
67,30/09/2007,"32,47%","10,33%","41,53%","17,39%","0,59","4,42","3,42"
68,30/06/2007,"15,71%","5,03%","43,07%","9,34%","0,54","5,68","4,68"
69,31/03/2007,"11,50%","3,73%","40,63%","7,50%","0,50","5,94","4,94"
70,31/12/2006,"9,97%","3,16%","39,48%","7,05%","0,45","3,30","2,30"
71,30/09/2006,"9,92%","3,06%","40,49%","7,05%","0,43","3,14","2,14"
72,30/06/2006,"7,14%","2,28%","38,81%","5,29%","0,43","3,12","2,12"
73,31/03/2006,"10,25%","3,17%","40,48%","7,61%","0,42","3,08","2,08"
74,31/12/2005,"9,82%","3,12%","39,64%","7,59%","0,41","3,15","2,15"
75,30/09/2005,"5,27%","1,72%","35,18%","4,37%","0,39","3,24","2,24"
76,30/06/2005,"6,66%","2,15%","35,02%","5,55%","0,39","3,13","2,13"
77,31/03/2005,"2,75%","0,90%","32,36%","2,35%","0,38","3,24","2,24"
78,31/12/2004,"2,49%","0,80%","33,58%","2,13%","0,38","3,14","2,14"
79,30/09/2004,"5,46%","1,79%","21,51%","4,62%","0,39","3,07","2,07"
80,30/06/2004,"4,99%","1,61%","20,54%","4,34%","0,37","3,10","2,10"
81,31/03/2004,"5,13%","1,67%","21,31%","4,61%","0,36","3,07","2,07"
82,31/12/2003,"2,50%","0,84%","20,92%","2,43%","0,34","3,10","2,10"
83,30/09/2003,"-2,33%","-0,79%","18,28%","-2,48%","0,32","3,05","2,05"
84,30/06/2003,"-3,91%","-1,35%","18,58%","-4,28%","0,32","3,09","2,09"
85,31/03/2003,"-3,67%","-1,25%","24,42%","-4,24%","0,30","3,08","2,08"
86,31/12/2002,"-3,21%","-1,10%","22,17%","-3,83%","0,29","2,98","1,98"
87,30/09/2002,"-8,27%","-4,02%","9,08%","-4,38%","0,92","2,93","1,93"
88,30/06/2002,"-1,69%","-0,65%","12,72%","-1,94%","0,34","2,89","1,89"
89,31/03/2002,"-1,52%","-0,60%","9,36%","-1,70%","0,35","2,93","1,93"
90,31/12/2001,"-0,99%","-0,41%","10,73%","-1,14%","0,36","2,92","1,92"
91,30/06/2001,"2,00%","1,31%","21,73%","3,50%","0,37","2,58","1,58"
92,31/03/2001,"1,42%","0,90%","17,83%","3,13%","0,29","2,55","1,55"
93,31/12/2000,"3,13%","1,24%","14,38%","4,09%","0,30","2,43","1,43"
94,30/09/2000,"-0,13%","-0,06%","12,58%","-0,20%","0,29","1,55","0,55"
95,30/06/2000,"-0,23%","-0,11%","16,44%","-0,41%","0,27","1,52","0,52"
96,31/03/2000,"-2,43%","-1,18%","18,38%","-4,75%","0,25","1,57","0,57"
